序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
26,江汉黄陂街汉来广场一室一厅老证,2017-01-14,汉来广场,江汉,前进江汉,, 一至二环,46,12814,35.9,未知年建/板楼,1室1厅,高楼层/共19层,东南,其他,http://wh.lianjia.com/ershoufang/104100309077.html
27,中南路双地铁口居家朝南方正户型两证齐全,2017-01-14,鹏程时代,武昌,中南丁字桥,, 一环内,95,17183,55.29,2004年建/塔楼,2室1厅,高楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100309060.html
28,天下龙岭广场3室2厅240万,2017-01-14,天下龙岭广场,洪山,街道口,, 一至二环,240,21099,113.75,2016年建/板楼,3室2厅,中楼层/共29层,南北,平层/其他,http://wh.lianjia.com/ershoufang/104100308986.html
29,颐和苑3室2厅168万,2017-01-14,颐和苑,洪山,老南湖,, 一至二环,168,10975,153.08,2001年建/塔楼,3室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100308952.html
30,天顺园十村2室1厅118万,2017-01-14,天顺园十村,硚口,长丰,, 二至三环,118,11684,101,2001年建/板楼,2室1厅,高楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100308848.html
31,江宏世纪名苑A区精装大三房诚心出售,2017-01-14,江宏世纪名苑A区,武昌,武昌火车站,, 一环内,190,14727,129.02,2004年建/塔楼,3室2厅,中楼层/共12层,东西,其他,http://wh.lianjia.com/ershoufang/104100308799.html
32,东湖睿园2室1厅230万,2017-01-14,东湖睿园,洪山,东湖东亭,, 一至二环,230,24906,92.35,2015年建/板楼,2室1厅,低楼层/共29层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100308711.html
33,天下龙岭广场3室1厅165万,2017-01-14,天下龙岭广场,洪山,街道口,, 一至二环,165,18540,89,2016年建/板楼,3室1厅,低楼层/共29层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100308707.html
34,香榭琴台两房全南户型明厨明卫,2017-01-14,新长江香榭琴台,汉阳,五里新村,, 一至二环,105,18367,57.17,2012年建/塔楼,2室1厅,低楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100308702.html
35,东西湖常青花园十四小区新装修复式楼南北通透采光充足,2017-01-14,常青花园十四小区,东西湖,常青花园,, 三至四环,295,12716,232,2002年建/板楼,6室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100308683.html
36,东立国际1室0厅70万,2017-01-14,东立国际,江岸,二七,, 一至二环,70,18504,37.83,2007年建/塔楼,1室0厅,中楼层/共19层,北,精装,http://wh.lianjia.com/ershoufang/104100308681.html
37,水岸星城3室2厅440万,2017-01-14,水岸星城,洪山,沙湖,, 二至三环,440,33818,130.11,2007年建/板楼,3室2厅,中楼层/共5层,南北,其他,http://wh.lianjia.com/ershoufang/104100308673.html
38,金色雅园金涛苑3室2厅220万,2017-01-14,金色雅园金涛苑,江汉,长港路,, 一至二环,220,16208,135.74,2006年建/板楼,3室2厅,中楼层/共11层,南,其他,http://wh.lianjia.com/ershoufang/104100308670.html
39,美林青城两居室精装诚心出售两证满两年,2017-01-14,美林青城,武昌,徐东,, 一至二环,190,21591,88,2016年建/塔楼,2室2厅,中楼层/共18层,北,其他,http://wh.lianjia.com/ershoufang/104100308649.html
40,江南家园6室2厅300万,2017-01-14,江南家园,洪山,民族大道,, ,300,15464,194,2002年建/板楼,6室2厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100308647.html
41,挂角南北通透两房，老证满五年，拎包入住,2017-01-14,东立国际,江岸,二七,, 一至二环,148,20000,74,2007年建/塔楼,2室1厅,中楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100308598.html
42,东立国际2室1厅180万,2017-01-14,东立国际,江岸,二七,, 一至二环,180,20786,86.6,2007年建/塔楼,2室1厅,中楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100308592.html
43,复地悦城2室2厅110万,2017-01-14,复地悦城,洪山,白沙洲,, 二至三环,110,13428,81.92,2015年建/板楼,2室2厅,低楼层/共34层,南,简装,http://wh.lianjia.com/ershoufang/104100308588.html
44,馨苑小区精装朝南2房带顶楼花园业主诚心卖,2017-01-14,馨苑小区,江汉,杨汊湖,, 一至二环,110,11392,96.56,2000年建/塔楼,2室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100308587.html
45,《水域天际》精装三室两厅一厨两卫,2017-01-14,水域天际,洪山,新南湖,, 一至二环,240,19835,121,2014年建/塔楼,3室2厅,低楼层/共18层,南西,其他,http://wh.lianjia.com/ershoufang/104100308574.html
46,居家中等装修朝南户型采光充足视野开阔,2017-01-14,光谷新世界汇贤邸,洪山,关山大道,, 二至三环,215,23700,90.72,2014年建/板楼,2室2厅,高楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100308570.html
47,当代东湖壹号居家精装两房采光充足视野开阔,2017-01-14,当代东湖壹号,武昌,中北路,, 一至二环,310,32895,94.24,2012年建/板楼,2室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100308555.html
48,精装大三房中间楼层采光良好布局合理生活便利,2017-01-14,劳动局宿舍,江岸,竹叶山花桥,, 一至二环,135,12932,104.4,未知年建/板楼,3室1厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100308514.html
49,绿地国际金融城一期2室2厅320万,2017-01-14,绿地国际金融城一期,武昌,滨江商务区,, 一至二环,320,32518,98.41,2013年建/板塔结合,2室2厅,高楼层/共48层,南,毛坯,http://wh.lianjia.com/ershoufang/104100308506.html
50,南北通透居家精装赠送露台拎包入住,2017-01-14,保利心语二期,洪山,珞狮南路,, 二至三环,185,16350,113.15,2007年建/塔楼,3室2厅,低楼层/共11层,南北,精装,http://wh.lianjia.com/ershoufang/104100308462.html
51,保利心语七期2室2厅108万,2017-01-14,保利心语七期,洪山,珞狮南路,, 二至三环,108,15953,67.7,2013年建/板塔结合,2室2厅,中楼层/共32层,南,简装,http://wh.lianjia.com/ershoufang/104100308453.html
52,现代城二区，大户型，三阳台住房，采光好，看房方便,2017-01-14,现代城二区,江岸,百步亭,, 二至三环,227,17952,126.45,2011年建/板楼,4室2厅,高楼层/共18层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100308419.html
53,博学仕府精装一居室采光充足交通便利,2017-01-14,博学仕府,硚口,宗关,, 一至二环,105,20112,52.21,2006年建/板楼,1室1厅,中楼层/共12层,西,其他,http://wh.lianjia.com/ershoufang/104100308386.html
54,长汽宿舍小学，初中，高中都有，配套齐全，楼层底,2017-01-14,长汽宿舍,硚口,古田,, ,70,11952,58.57,未知年建/板楼,2室1厅,低楼层/共8层,南北,其他,http://wh.lianjia.com/ershoufang/104100308351.html
55,爱家国际华城4室2厅240万,2017-01-14,爱家国际华城,洪山,徐东,, 一至二环,240,16885,142.14,2010年建/板塔结合,4室2厅,低楼层/共28层,南,其他,http://wh.lianjia.com/ershoufang/104100308246.html
56,此房为保利心语66+8户型典藏小两房楼层好采光好。,2017-01-13,保利心语七期,洪山,珞狮南路,, 二至三环,115,17075,67.35,2013年建/塔楼,2室2厅,中楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100308221.html
57,硚口武胜路金海名都一室精装小户型电梯房,2017-01-13,金海名都,硚口,武胜路,, ,53,18232,29.07,2013年建/塔楼,1室1厅,低楼层/共32层,东北,精装,http://wh.lianjia.com/ershoufang/104100308215.html
58,和平街铁机东区1室1厅80万,2017-01-13,和平街铁机东区,武昌,徐东,, ,80,14036,57,1994年建/板楼,1室1厅,高楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100308076.html
59,此房两证满五年，居家精装修，坐北朝南户型,2017-01-13,宇济花园,江汉,西北湖,, 一至二环,190,18447,103,2003年建/板楼,2室2厅,中楼层/共13层,南,其他,http://wh.lianjia.com/ershoufang/104100308058.html
60,街道口地铁口书香门第满两年诚心卖看房方便,2017-01-13,书香门第,武昌,中南丁字桥,, ,170,18789,90.48,2002年建/板楼,2室2厅,高楼层/共28层,北,其他,http://wh.lianjia.com/ershoufang/104100308015.html
61,武汉核心商圈，临江小户型，户型方正,2017-01-13,临江大道51号,武昌,司门口,, ,83,18527,44.8,未知年建/塔楼,1室1厅,低楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100307988.html
62,武昌核心商圈，适合居家自住，公摊小,2017-01-13,临江大道51号,武昌,司门口,, ,83,18527,44.8,未知年建/塔楼,1室1厅,低楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100307987.html
63,江宏世纪名苑A区精装大三房诚心出售,2017-01-13,江宏世纪名苑A区,武昌,武昌火车站,, 一环内,236,13001,181.53,2004年建/塔楼,3室2厅,高楼层/共12层,东南,精装,http://wh.lianjia.com/ershoufang/104100307945.html
64,煤建宿舍2室1厅92万,2017-01-13,煤建宿舍,江岸,二七,, 一至二环,92,12839,71.66,未知年建/板楼,2室1厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100307895.html
65,天成美雅精装居家两房不动产正证94.96平,2017-01-13,天成美雅,洪山,流芳,, 二至三环,170,17903,94.96,2015年建/板楼,2室2厅,低楼层/共33层,南北,精装,http://wh.lianjia.com/ershoufang/104100307890.html
66,金珠港湾二期两证满二户型正气南北通透,2017-01-13,金珠港湾二期,东西湖,金银湖,, 三至四环,95,10915,87.04,2008年建/板楼,2室2厅,中楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100307833.html
67,加州香山美树3室2厅200万,2017-01-13,加州香山美树,洪山,民族大道,, 二至三环,200,16576,120.66,2013年建/板楼,3室2厅,中楼层/共17层,南北,其他,http://wh.lianjia.com/ershoufang/104100307809.html
68,100米走到地铁站精装修两居室4月份两证就满两年了,2017-01-13,南湖名都B,洪山,新南湖,, 二至三环,160,18817,85.03,2009年建/塔楼,2室2厅,低楼层/共16层,南北,其他,http://wh.lianjia.com/ershoufang/104100307737.html
69,惠誉花园2室2厅158万,2017-01-13,惠誉花园,洪山,徐家棚,, 二至三环,158,18482,85.49,2001年建/板塔结合,2室2厅,低楼层/共8层,东西,精装,http://wh.lianjia.com/ershoufang/104100307708.html
70,丽华苑3室2厅150万,2017-01-13,丽华苑,武昌,徐东,, 一至二环,150,16742,89.6,2008年建/板楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100307657.html
71,华润置地中央公园二期2室2厅155万,2017-01-13,华润置地中央公园二期,汉阳,琴台大道,, 一环内,155,16573,93.53,2013年建/板塔结合,2室2厅,高楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100307598.html
72,户型方正，采光充足，品质小区，品牌物业！,2017-01-13,万科城花璟苑,洪山,关山大道,, 二至三环,220,20557,107.02,2015年建/板楼,3室2厅,低楼层/共34层,东西,其他,http://wh.lianjia.com/ershoufang/104100307597.html
73,华润置地凤凰城3室2厅429万,2017-01-13,华润置地凤凰城,武昌,积玉桥,, 一环内,429,30000,143,2007年建/塔楼,3室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100307574.html
74,中高楼层精装修通透户型两证满五范湖地铁C口,2017-01-13,宇济花园,江汉,西北湖,, 一至二环,320,20000,160,2003年建/板楼,3室2厅,高楼层/共13层,南北,其他,http://wh.lianjia.com/ershoufang/104100307549.html
75,【保利公园九里】居家大三房两证齐全,2017-01-13,保利公园九里,洪山,老南湖,, 二至三环,185,18193,101.69,2015年建/板楼,3室2厅,低楼层/共34层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100307509.html
76,保利公园九里2室2厅160万,2017-01-13,保利公园九里,洪山,老南湖,, 二至三环,160,17772,90.03,2016年建/板楼,2室2厅,中楼层/共34层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100307471.html
77,朗诗麦君1室0厅68万,2017-01-13,朗诗麦君,汉阳,龙阳大道,, 二至三环,68,14939,45.52,2013年建/塔楼,1室0厅,低楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100307407.html
78,天纵半岛蓝湾2室2厅115万,2017-01-13,天纵半岛蓝湾,东西湖,将军路,, 三至四环,115,14450,79.59,2016年建/板楼,2室2厅,低楼层/共33层,南北,平层/精装,http://wh.lianjia.com/ershoufang/104100307393.html
79,福星惠誉国际城1室1厅93万,2017-01-13,福星惠誉国际城,洪山,沙湖,, 一环内,93,14612,63.65,2010年建/板楼,1室1厅,高楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100307306.html
80,银泰御华园一期2室2厅220万,2017-01-13,银泰御华园一期,江岸,百步亭,, 一至二环,220,21154,104,2013年建/板楼,2室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100307265.html
81,润和花园3室2厅98万,2017-01-13,润和花园,硚口,宗关,, 一至二环,98,13425,73,2005年建/塔楼,3室2厅,高楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100307198.html
82,菱角湖地铁《石化小区》正规朝南两房，零公摊,2017-01-13,石油宿舍,江汉,唐家墩,, 一至二环,106,15589,68,未知年建/板楼,2室1厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100307193.html
83,当代东湖壹号居家四房集中供暖出行方便两证五年,2017-01-13,当代东湖壹号,武昌,中北路,, 一至二环,380,27035,140.56,2009年建/板楼,4室2厅,中楼层/共26层,东南,其他,http://wh.lianjia.com/ershoufang/104100307121.html
84,柴林头东区2室2厅110万,2017-01-12,柴林头东区,武昌,徐东,, 一至二环,110,14746,74.6,1993年建/板楼,2室2厅,高楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100307043.html
85,越秀星汇云锦1室1厅105万,2017-01-12,越秀星汇云锦,硚口,宗关,, 一至二环,105,22827,46,2016年建/板楼,1室1厅,中楼层/共30层,北,其他,http://wh.lianjia.com/ershoufang/104100307029.html
86,天润北湖假日1室1厅80万,2017-01-12,天润北湖假日,江汉,西北湖,, 一至二环,80,19048,42,2005年建/塔楼,1室1厅,低楼层/共27层,西,其他,http://wh.lianjia.com/ershoufang/104100306921.html
87,户型方正两房朝南中间楼层采光充足可欣赏湖景,2017-01-12,新长江香榭湾,江夏,江夏其它,, 三至四环,120,12760,94.05,2015年建/板楼,2室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100306915.html
88,天顺园九组团精装修两室一厅业主诚心出售,2017-01-12,天顺园九村,硚口,长丰,, 二至三环,110,12726,86.44,2001年建/板楼,2室2厅,高楼层/共6层,南,精装,http://wh.lianjia.com/ershoufang/104100306889.html
89,统建锦绣江南3室2厅268万,2017-01-12,统建锦绣江南,武昌,中北路,, 一至二环,268,29526,90.77,2008年建/板塔结合,3室2厅,中楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100306886.html
90,九坤秦南都汇1室1厅60万,2017-01-12,九坤秦南都汇,洪山,徐东,, ,60,15385,39,2009年建/板楼,1室1厅,低楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100306883.html
91,金源华庭三室两厅南北通透采光充足,2017-01-12,金源华庭,汉阳,五里新村,, 一至二环,165,14474,114,2005年建/板楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100306774.html
92,秀泽园北区4室3厅200万,2017-01-12,秀泽园北区,江岸,百步亭,, 二至三环,200,13548,147.63,2004年建/板楼,4室3厅,低楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100306760.html
93,香江花园一二期3室2厅260万,2017-01-12,香江花园一二期,江汉,唐家墩,, 一至二环,260,19939,130.4,2004年建/塔楼,3室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100306758.html
94,爱家皇家公馆1室1厅120万,2017-01-12,爱家皇家公馆,洪山,徐东,, 一至二环,120,19532,61.44,2001年建/板楼,1室1厅,高楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100306704.html
95,配套成熟，采光好，环境优雅，户型正气,2017-01-12,汉口春天,硚口,古田,, 二至三环,200,21725,92.06,2007年建/板楼,4室3厅,高楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100306698.html
96,地铁口合同房纯毛坯原始格局交通便利生活配套齐全,2017-01-12,花样年花郡,洪山,华侨城,, 二至三环,205,17471,117.34,2015年建/板楼,3室2厅,中楼层/共9层,南北,其他,http://wh.lianjia.com/ershoufang/104100306645.html
97,广电兰亭荣荟2室2厅95万,2017-01-12,广电兰亭荣荟,硚口,古田,, 二至三环,95,14241,66.71,2016年建/板楼,2室2厅,低楼层/共33层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100306622.html
98,阁调小区1室1厅90万,2017-01-12,阁调小区,洪山,关山大道,, 二至三环,90,20135,44.7,2004年建/板楼,1室1厅,低楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100306609.html
99,楚天都市金园1室1厅92.5万,2017-01-12,楚天都市金园,江汉,常码头,, 一至二环,92.5,18274,50.62,2011年建/板楼,1室1厅,中楼层/共34层,南,其他,http://wh.lianjia.com/ershoufang/104100306572.html
100,南湖新村2室2厅115万,2017-01-12,南湖新村,洪山,老南湖,, 一至二环,115,14776,77.83,1991年建/塔楼,2室2厅,高楼层/共8层,南北,简装,http://wh.lianjia.com/ershoufang/104100306567.html
101,航天嘉园一期3室2厅175万,2017-01-12,航天嘉园一期,东西湖,东西湖其它,, ,175,12965,134.98,2006年建/板楼,3室2厅,低楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100306523.html
102,金地西岸故事2室2厅175万,2017-01-12,金地西岸故事,洪山,珞狮南路,, ,175,20183,86.71,2011年建/板塔结合,2室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100306506.html
103,华星花园2室1厅68万,2017-01-12,华星花园,东西湖,吴家山,, ,68,9176,74.11,2005年建/板楼,2室1厅,中楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100306491.html
104,汉府上院3室2厅190万,2017-01-12,汉府上院,汉阳,十里铺,, 一至二环,190,15593,121.85,2014年建/板楼,3室2厅,中楼层/共29层,南,精装,http://wh.lianjia.com/ershoufang/104100306490.html
105,小区位于华师附小南湖分校旁，一楼带院子，不临铁路。,2017-01-12,保利公园九里,洪山,老南湖,, 二至三环,103,16094,64,2016年建/板楼,1室2厅,低楼层/共34层,南,毛坯,http://wh.lianjia.com/ershoufang/104100306460.html
106,联投花山郡别墅1室2厅180万,2017-01-12,联投花山郡别墅,洪山,洪山其它,, 三至四环,180,20191,89.15,2014年建,1室2厅,联排/共5层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100306426.html
107,东方帝园2室2厅160万,2017-01-12,东方帝园,江汉,长港路,, 一至二环,160,13629,117.4,2003年建/板楼,2室2厅,中楼层/共11层,南,精装,http://wh.lianjia.com/ershoufang/104100306412.html
108,两证满二带车位中等装修看房方便,2017-01-12,水域天际,洪山,新南湖,, 一至二环,245,21439,114.28,2007年建/塔楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100306351.html
109,银湖翡翠二期3室2厅270万,2017-01-12,银湖翡翠二期,东西湖,金银湖,, 三至四环,270,20843,129.54,2014年建/板楼,3室2厅,低楼层/共11层,东,其他,http://wh.lianjia.com/ershoufang/104100306339.html
110,宝利金二期大三房三面采光地段好,2017-01-12,宝利金二期中央荣御,江汉,前进江汉,, 一环内,350,18717,187,2011年建/塔楼,3室2厅,中楼层/共33层,东南,其他,http://wh.lianjia.com/ershoufang/104100306310.html
111,同鑫花园3室1厅160万,2017-01-12,同鑫花园,江岸,后湖,, 二至三环,160,14075,113.68,2007年建/塔楼,3室1厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100306282.html
112,西北湖凤凰城2室2厅400万,2017-01-12,西北湖凤凰城,江汉,西北湖,, 一至二环,400,25096,159.39,2006年建/塔楼,2室2厅,高楼层/共26层,南,其他,http://wh.lianjia.com/ershoufang/104100306278.html
113,列电社区2室1厅95万,2017-01-12,列电社区,洪山,白沙洲,, 二至三环,95,11620,81.76,未知年建/板楼,2室1厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100306270.html
114,两证两年，居家小三房，南北通透户型,2017-01-12,梅南山居,江夏,江夏其它,, ,100,9709,103,2008年建/板楼,3室2厅,中楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100306207.html
115,高区楼层一线湖景精装两房视野开阔业主诚售,2017-01-12,纯水岸东湖天屿一期,洪山,华侨城,, 二至三环,220,27528,79.92,2015年建/板楼,2室2厅,高楼层/共57层,南,精装,http://wh.lianjia.com/ershoufang/104100306174.html
116,百瑞景中央生活区一期2室2厅230万,2017-01-12,百瑞景中央生活区一期,洪山,中南丁字桥,, 一环内,230,25647,89.68,2009年建/板楼,2室2厅,中楼层/共33层,南北,其他,http://wh.lianjia.com/ershoufang/104100306170.html
117,融科天城一期精装两房，全新装修,2017-01-12,融科天城一期,江岸,三阳路,, 二至三环,240,28916,83,2012年建/板楼,2室2厅,低楼层/共33层,东北,其他,http://wh.lianjia.com/ershoufang/104100306156.html
118,香格里嘉园3室2厅300万,2017-01-12,香格里嘉园,武昌,楚河汉街,, ,300,17711,169.39,2008年建/塔楼,3室2厅,高楼层/共15层,南北,精装,http://wh.lianjia.com/ershoufang/104100306135.html
119,东原晴天见3室2厅135万,2017-01-12,东原晴天见,洪山,老南湖,, 二至三环,135,15786,85.52,2016年建/板塔结合,3室2厅,高楼层/共31层,南,平层/其他,http://wh.lianjia.com/ershoufang/104100306123.html
120,一梯一户，南北通透，自住精装修两房,2017-01-12,当代国际花园二期,江夏,光谷南,, ,149,18998,78.43,2006年建/板楼,2室2厅,中楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100306078.html
121,金银湖新村3室2厅140万,2017-01-12,金银湖新村,东西湖,金银湖,, 二至三环,140,9723,143.99,未知年建/板楼,3室2厅,中楼层/共4层,南北,其他,http://wh.lianjia.com/ershoufang/104100306068.html
